actual,counts
14.556,1
14.563,1
14.576,2
14.58,1
14.59,2
14.593,2
14.596,1
14.61,2
14.623,2
14.626,1
14.633,1
14.64,3
14.656,2
14.67,2
14.69,1
14.706,1
14.716,2
14.75,2
14.753,2
14.763,1
14.766,2
14.78,3
14.796,3
14.81,1
14.813,1
14.826,2
14.843,2
14.86,1
14.866,2
14.876,2
14.89,3
14.906,1
14.923,1
14.933,1
14.953,1
14.966,1
14.97,1
14.983,1
14.993,1
15.0,1
15.016,5
15.02,1
15.023,1
15.033,1
15.063,3
15.076,1
15.08,2
15.09,1
15.093,3
15.1,1
15.106,1
15.12,1
15.126,2
15.14,3
15.143,1
15.156,2
15.17,3
15.173,1
15.186,1
15.19,4
15.2,1
15.203,2
15.206,1
15.216,2
15.233,3
15.236,1
15.24,1
15.243,1
15.246,2
15.25,4
15.263,2
15.28,1
15.296,1
15.3,1
15.31,1
15.313,2
15.326,5
15.33,1
15.343,1
15.346,1
15.36,2
15.37,1
15.373,1
15.393,1
15.403,2
15.406,2
15.423,2
15.436,1
15.446,1
15.453,2
15.46,1
15.47,1
15.483,1
15.503,1
15.513,1
15.516,1
15.55,1
15.563,2
15.576,2
15.58,2
15.606,1
15.623,1
15.643,1
15.656,3
15.686,3
15.7,1
15.703,1
15.72,3
15.733,2
15.75,4
15.763,1
15.766,2
15.78,1
15.783,2
15.796,3
15.813,1
15.826,1
15.843,2
15.86,1
15.89,1
15.906,2
15.92,1
15.923,1
15.936,2
15.94,1
15.946,1
15.95,1
15.956,1
15.966,1
15.97,1
15.983,1
15.986,1
15.996,1
16.0,4
16.016001,2
16.030001,1
16.033001,3
16.035999,1
16.046,1
16.049999,1
16.059999,1
16.063,4
16.076,1
16.086,2
16.125999,1
16.132999,1
16.17,1
16.173,2
16.183001,1
16.190001,1
16.202999,1
16.216,1
16.219999,1
16.233,1
16.236,2
16.25,3
16.266001,1
16.280001,1
16.309999,1
16.323,1
16.326,2
16.33,3
16.343,2
16.35,1
16.360001,1
16.365999,1
16.372999,4
16.375999,1
16.379999,1
16.386,1
16.393,1
16.423,4
16.440001,2
16.452999,4
16.455999,1
16.469999,1
16.51,1
16.516001,2
16.546,1
16.549999,1
16.559999,1
16.576,1
16.58,3
16.593,4
16.610001,1
16.615999,1
16.622999,2
16.625999,2
16.639999,1
16.656,1
16.67,1
16.686001,1
16.690001,2
16.700001,1
16.702999,3
16.705999,1
16.719999,1
16.733,1
16.736,1
16.746,1
16.766001,2
16.785999,1
16.792999,1
16.796,1
16.799999,1
16.809999,1
16.813,1
16.826,1
16.83,1
16.843,1
16.846001,1
16.860001,1
16.872999,1
16.91,1
16.923,1
16.940001,1
16.952999,3
16.962999,1
16.966,1
16.969999,2
16.976,1
16.983,1
16.986,4
17.0,1
17.006001,1
17.013,1
17.016001,1
17.030001,1
17.033001,2
17.046,4
17.063,2
17.073,1
17.076,1
17.08,1
17.093,1
17.096001,1
17.110001,1
17.115999,1
17.125999,1
17.139999,2
17.143,2
17.156,2
17.163,1
17.17,2
17.190001,1
17.202999,3
17.205999,1
17.216,2
17.219999,1
17.233,1
17.236,1
17.253,1
17.266001,2
17.280001,2
17.283001,1
17.296,2
17.313,3
17.326,1
17.360001,2
17.363001,1
17.372999,1
17.375999,1
17.41,1
17.423,1
17.436001,1
17.440001,1
17.452999,2
17.466,2
17.469999,1
17.486,3
17.5,3
17.503,1
17.52,1
17.530001,3
17.546,3
17.576,1
17.58,1
17.593,2
17.610001,3
17.625999,1
17.639999,1
17.643,1
17.653,2
17.656,1
17.673,1
17.686001,1
17.702999,1
17.733,1
17.736,2
17.75,2
17.763,2
17.783001,2
17.796,4
17.799999,1
17.83,1
17.833,1
17.856001,1
17.860001,1
17.872999,1
17.889999,4
17.893,2
17.906,3
17.936001,2
17.952999,1
17.983,3
18.0,1
18.006001,1
18.046,2
18.063,3
18.076,1
18.08,3
18.093,3
18.122999,3
18.125999,2
18.143,1
18.156,2
18.17,2
18.173,1
18.202999,1
18.219999,1
18.233,2
18.266001,1
18.283001,2
18.309999,1
18.313,1
18.316,1
18.33,2
18.360001,2
18.372999,4
18.375999,1
18.386,1
18.389999,2
18.423,2
18.436001,1
18.440001,1
18.483,1
18.496,1
18.5,1
18.513,1
18.516001,2
18.549999,1
18.559999,1
18.576,2
18.58,1
18.603001,1
18.606001,1
18.610001,2
18.622999,1
18.629999,1
18.639999,1
18.643,1
18.656,1
18.673,2
18.686001,1
18.690001,1
18.719999,2
18.746,1
18.75,1
18.753,1
18.763,1
18.773001,1
18.783001,1
18.796,2
18.799999,2
18.826,4
18.83,1
18.843,1
18.85,1
18.856001,1
18.860001,2
18.872999,2
18.875999,2
18.889999,3
18.896,1
18.906,1
18.923,2
18.952999,1
18.969999,4
18.983,1
18.986,1
19.0,1
19.016001,2
19.02,1
19.046,2
19.049999,1
19.052999,1
19.059999,1
19.063,2
19.076,1
19.08,2
19.106001,1
19.110001,2
19.122999,1
19.125999,2
19.129999,1
19.139999,1
19.156,2
19.17,1
19.173,3
19.190001,1
19.200001,1
19.202999,3
19.205999,2
19.233,2
19.27,1
19.280001,1
19.283001,1
19.296,1
19.299999,1
19.313,1
19.323,1
19.360001,1
19.370001,1
19.375999,2
19.386,1
19.389999,1
19.393,3
19.406,1
19.413,1
19.42,2
19.423,1
19.436001,1
19.440001,1
19.452999,2
19.466,1
19.469999,2
19.483,1
19.49,1
19.559999,1
19.576,2
19.58,1
19.583,1
19.610001,3
19.622999,4
19.636,1
19.639999,3
19.656,2
19.68,1
19.686001,1
19.690001,1
19.716,2
19.75,3
19.77,1
19.780001,2
19.783001,1
19.796,2
19.813,1
19.826,1
19.83,1
19.84,1
19.843,2
19.846001,1
19.872999,1
19.875999,1
19.92,1
19.936001,1
19.940001,1
19.952999,2
19.966,1
19.983,1
19.986,1
20.033001,2
20.046,1
20.063,1
20.066,1
20.122999,2
20.156,1
20.173,1
20.190001,1
20.209999,1
20.219999,1
20.25,3
20.266001,3
20.27,1
20.283001,1
20.313,1
20.33,1
20.343,2
20.356001,1
20.360001,1
20.389999,2
20.406,1
20.423,1
20.43,1
20.436001,1
20.466,1
20.469999,2
20.483,2
20.486,1
20.5,1
20.533001,2
20.546,1
20.549999,1
20.58,2
20.593,1
20.606001,1
20.610001,4
20.639999,1
20.716,1
20.733,1
20.766001,1
20.780001,1
20.783001,2
20.796,1
20.799999,2
20.806,1
20.813,1
20.826,3
20.843,1
20.860001,5
20.889999,1
20.906,1
20.92,1
20.936001,2
20.950001,1
20.955999,1
20.969999,1
20.983,2
21.0,2
21.016001,1
21.030001,1
21.086,1
21.093,1
21.125999,1
21.153,1
21.202999,1
21.205999,1
21.236,1
21.25,1
21.263,2
21.266001,1
21.296,2
21.343,1
21.360001,2
21.375999,1
21.389999,2
21.403,1
21.406,1
21.452999,1
21.466,1
21.483,3
21.486,1
21.5,1
21.503,1
21.513,1
21.516001,2
21.530001,2
21.546,2
21.549999,1
21.563,1
21.593,3
21.596001,1
21.610001,1
21.615999,1
21.656,1
21.673,1
21.686001,2
21.716,1
21.719999,2
21.733,2
21.75,3
21.766001,1
21.783001,3
21.796,3
21.83,1
21.843,4
21.846001,1
21.860001,1
21.889999,2
21.893,1
21.91,1
21.92,1
21.952999,1
21.983,2
22.003,1
22.016001,1
22.030001,1
22.046,2
22.059999,2
22.076,1
22.122999,1
22.125999,2
22.156,2
22.166,1
22.173,1
22.186001,1
22.190001,1
22.202999,1
22.233,1
22.266001,1
22.280001,1
22.283001,1
22.292999,1
22.299999,1
22.326,1
22.33,1
22.346001,1
22.356001,1
22.360001,1
22.389999,1
22.406,1
22.42,1
22.423,1
22.452999,3
22.469999,2
22.5,1
22.513,1
22.525999,1
22.546,1
22.563,1
22.58,1
22.593,1
22.610001,2
22.643,1
22.656,2
22.673,1
22.726,1
22.733,1
22.75,1
22.766001,1
22.783001,2
22.796,2
22.806,1
22.813,2
22.82,1
22.83,3
22.875999,1
22.896,1
22.906,1
22.923,1
22.936001,2
23.0,2
23.013,1
23.016001,1
23.046,1
23.066,1
23.08,1
23.096001,1
23.110001,3
23.143,1
23.156,1
23.173,1
23.216,1
23.280001,1
23.309999,1
23.326,1
23.343,1
23.360001,2
23.389999,1
23.42,1
23.436001,1
23.440001,1
23.486,1
23.5,1
23.516001,1
23.530001,1
23.563,1
23.58,1
23.610001,6
23.622999,1
23.653,1
23.656,1
23.67,1
23.673,1
23.690001,1
23.702999,2
23.75,1
23.766001,1
23.780001,1
23.860001,1
23.875999,1
23.936001,1
23.952999,1
23.955999,1
24.003,1
24.016001,2
24.025999,1
24.030001,1
24.040001,1
24.049999,2
24.063,1
24.066,1
24.076,1
24.093,1
24.125999,1
24.139999,1
24.156,2
24.190001,1
24.216,2
24.219999,1
24.236,1
24.266001,1
24.309999,1
24.313,1
24.326,1
24.346001,1
24.406,2
24.443001,1
24.452999,1
24.483,1
24.486,1
24.5,1
24.516001,2
24.540001,1
24.563,1
24.593,2
24.610001,1
24.656,1
24.67,1
24.719999,1
24.726,1
24.799999,1
24.813,1
24.826,1
24.83,1
24.843,2
24.846001,1
24.860001,1
24.875999,1
24.889999,1
24.92,1
24.936001,1
24.940001,2
24.952999,1
24.955999,1
24.986,1
25.033001,1
25.063,2
25.093,1
25.125999,2
25.139999,1
25.16,1
25.216,1
25.219999,3
25.233,2
25.236,2
25.25,1
25.253,1
25.266001,1
25.33,1
25.389999,1
25.406,1
25.42,2
25.423,1
25.436001,1
25.466,1
25.469999,1
25.483,1
25.5,1
25.533001,1
25.546,1
25.556,1
25.559999,1
25.576,1
25.58,2
25.593,1
25.596001,1
25.639999,1
25.67,1
25.673,1
25.690001,1
25.796,2
25.799999,1
25.813,1
25.826,1
25.860001,2
25.906,2
25.91,1
25.923,1
25.936001,1
25.966,1
25.969999,3
25.983,1
26.0,1
26.08,1
26.093,3
26.139999,1
26.173,1
26.190001,1
26.219999,1
26.233,1
26.25,1
26.266001,1
26.283001,1
26.296,2
26.323,1
26.33,1
26.370001,1
26.413,1
26.42,2
26.440001,1
26.466,2
26.483,1
26.493,1
26.516001,1
26.530001,2
26.546,1
26.563,1
26.576,1
26.596001,1
26.613001,1
26.636,1
26.639999,1
26.656,1
26.733,1
26.736,1
26.766001,2
26.826,1
26.846001,1
26.860001,1
26.875999,1
26.889999,1
26.903,1
26.906,2
26.92,1
26.940001,1
26.969999,1
26.986,1
27.003,2
27.016001,1
27.030001,1
27.046,2
27.052999,2
27.110001,2
27.120001,2
27.125999,1
27.139999,1
27.156,1
27.17,1
27.173,1
27.202999,1
27.219999,1
27.253,1
27.280001,1
27.326,1
27.423,1
27.436001,1
27.452999,3
27.466,1
27.469999,2
27.513,1
27.516001,1
27.530001,1
27.563,1
27.576,2
27.610001,1
27.67,1
27.673,1
27.686001,1
27.702999,1
27.719999,1
27.733,1
27.74,1
27.753,1
27.780001,1
27.783001,1
27.84,1
27.843,2
27.860001,2
27.889999,1
27.893,1
27.966,1
27.983,2
27.996,1
28.016001,1
28.063,1
28.076,1
28.08,1
28.236,1
28.26,2
28.309999,1
28.356001,1
28.452999,1
28.466,1
28.469999,1
28.483,1
28.486,1
28.5,1
28.516001,2
28.530001,1
28.533001,1
28.546,1
28.563,1
28.58,1
28.606001,1
28.686001,1
28.719999,1
28.733,1
28.780001,1
28.796,1
28.843,3
28.860001,4
28.872999,1
28.875999,1
28.906,1
28.92,1
28.936001,1
28.940001,1
28.969999,1
29.016001,1
29.02,1
29.033001,2
29.063,2
29.093,2
29.122999,1
29.146,1
29.15,1
29.202999,1
29.313,2
29.32,1
29.33,1
29.34,1
29.393,1
29.466,1
29.483,1
29.486,1
29.516001,1
29.533001,1
29.535999,1
29.563,1
29.625999,1
29.639999,1
29.656,1
29.673,1
29.693001,1
29.702999,1
29.719999,1
29.743,1
29.75,1
29.796,1
29.809999,1
29.813,1
29.816,1
29.843,2
29.889999,1
29.893,1
29.923,2
29.943001,1
29.945999,1
29.952999,2
29.966,1
29.969999,1
30.0,1
30.076,1
30.156,1
30.186001,1
30.266001,1
30.273001,1
30.283001,2
30.299999,1
30.326,1
30.343,1
30.42,1
30.483,2
30.486,1
30.5,1
30.540001,1
30.546,1
30.58,1
30.625999,2
30.663,1
30.67,1
30.719999,1
30.733,1
30.736,1
30.756001,1
30.77,2
30.796,1
30.799999,1
30.802999,1
30.813,2
30.826,1
30.83,2
30.860001,1
30.863001,1
30.889999,1
30.893,1
30.906,1
30.92,1
30.923,1
30.936001,1
30.940001,1
31.025999,1
31.033001,1
31.046,2
31.122999,1
31.139999,1
31.190001,1
31.202999,2
31.219999,2
31.233,1
31.266001,1
31.296,1
31.316,1
31.33,1
31.346001,1
31.360001,1
31.370001,1
31.389999,1
31.466,1
31.469999,1
31.483,1
31.486,1
31.546,1
31.58,2
31.593,1
31.656,1
31.716,1
31.736,1
31.766001,2
31.780001,3
31.783001,1
31.792999,1
31.802999,1
31.813,2
31.856001,1
31.860001,2
31.875999,1
31.889999,2
31.903,1
32.0,1
32.015999,1
32.033001,1
32.046001,1
32.105999,1
32.110001,1
32.123001,1
32.125999,1
32.139999,1
32.155998,1
32.16,1
32.173,1
32.189999,1
32.310001,2
32.313,1
32.326,2
32.330002,1
32.346001,1
32.360001,1
32.362999,1
32.452999,1
32.5,3
32.529999,1
32.560001,1
32.563,1
32.576,1
32.580002,2
32.59,1
32.625999,3
32.689999,1
32.702999,1
32.706001,1
32.736,1
32.826,1
32.875999,1
32.905998,4
32.936001,1
32.945999,1
32.952999,1
32.970001,2
33.013,1
33.060001,1
33.125999,1
33.173,1
33.186001,1
33.220001,2
33.233002,1
33.25,1
33.279999,1
33.283001,2
33.330002,1
33.333,1
33.346001,1
33.439999,1
33.466,1
33.470001,1
33.529999,1
33.546001,1
33.605999,1
33.610001,2
33.686001,1
33.689999,1
33.702999,1
33.720001,1
33.736,2
33.765999,1
33.783001,1
33.796001,1
33.823002,1
33.842999,1
33.875999,1
33.893002,1
33.936001,2
33.973,1
34.110001,2
34.112999,1
34.139999,1
34.169998,1
34.186001,1
34.202999,1
34.206001,1
34.220001,1
34.279999,1
34.296001,1
34.375999,2
34.466,1
34.470001,1
34.486,1
34.513,1
34.533001,1
34.560001,1
34.563,2
34.669998,1
34.689999,1
34.716,1
34.765999,1
34.783001,1
34.796001,1
34.860001,2
34.873001,1
34.936001,2
34.939999,1
34.986,3
35.013,1
35.029999,1
35.046001,2
35.173,1
35.189999,1
35.220001,1
35.233002,1
35.25,3
35.252998,1
35.279999,1
35.373001,2
35.375999,1
35.456001,1
35.483002,1
35.502998,1
35.513,1
35.566002,1
35.596001,1
35.655998,1
35.669998,1
35.673,1
35.720001,1
35.736,1
35.776001,1
35.783001,1
35.842999,1
35.873001,1
35.889999,1
35.952999,1
35.983002,1
36.110001,2
36.139999,1
36.143002,1
36.155998,1
36.169998,1
36.186001,1
36.202999,1
36.206001,1
36.220001,1
36.263,1
36.316002,1
36.326,1
36.360001,1
36.405998,1
36.419998,1
36.432999,1
36.436001,1
36.452999,1
36.502998,1
36.515999,1
36.542999,1
36.546001,1
36.563,1
36.580002,1
36.623001,1
36.669998,2
36.686001,1
36.716,1
36.736,1
36.75,1
36.842999,1
36.986,1
37.0,1
37.002998,1
37.029999,1
37.033001,1
37.046001,1
37.060001,1
37.080002,1
37.096001,1
37.123001,1
37.16,1
37.216,1
37.252998,1
37.306,1
37.330002,1
37.375999,1
37.403,1
37.405998,1
37.423,1
37.486,1
37.515999,1
37.529999,1
37.549999,1
37.560001,1
37.596001,1
37.610001,1
37.706001,1
37.783001,1
37.873001,1
37.875999,1
37.905998,1
37.939999,1
37.970001,2
38.0,1
38.033001,1
38.080002,1
38.096001,1
38.125999,1
38.146,1
38.173,1
38.193001,1
38.23,1
38.233002,1
38.313,2
38.360001,1
38.396,1
38.495998,1
38.513,2
38.515999,2
38.533001,1
38.576,2
38.610001,2
38.623001,1
38.643002,1
38.669998,1
38.702999,2
38.720001,1
38.75,1
38.763,1
38.765999,1
38.779999,1
38.783001,1
38.796001,1
38.842999,1
38.873001,1
38.905998,1
38.923,1
38.93,1
38.970001,1
39.0,1
39.015999,2
39.049999,1
39.110001,1
39.139999,1
39.16,1
39.173,1
39.186001,1
39.233002,1
39.263,1
39.279999,1
39.313,1
39.330002,1
39.342999,1
39.360001,1
39.373001,1
39.389999,1
39.393002,1
39.405998,2
39.419998,1
39.423,1
39.436001,1
39.452999,1
39.470001,1
39.5,1
39.502998,1
39.513,1
39.546001,2
39.560001,1
39.59,1
39.612999,1
39.625999,1
39.673,2
39.73,1
39.736,1
39.75,1
39.765999,1
39.810001,1
39.830002,1
39.91,1
39.919998,2
39.983002,1
39.986,1
40.033001,1
40.063,1
40.139999,1
40.155998,1
40.220001,1
40.296001,2
40.342999,1
40.389999,1
40.405998,1
40.483002,1
40.5,1
40.566002,1
40.580002,1
40.592999,3
40.610001,1
40.619999,1
40.783001,1
40.813,1
40.842999,1
40.853001,1
40.855999,1
40.860001,1
40.923,3
40.936001,1
40.970001,2
40.986,1
41.080002,1
41.092999,1
41.155998,2
41.173,1
41.186001,1
41.202999,1
41.279999,1
41.326,2
41.330002,1
41.346001,1
41.439999,1
41.452999,1
41.470001,1
41.5,1
41.502998,1
41.529999,1
41.549999,2
41.563,1
41.610001,1
41.639999,1
41.675999,1
41.686001,1
41.702999,2
41.736,1
41.765999,2
41.796001,1
41.842999,1
41.983002,1
42.0,1
42.015999,1
42.029999,1
42.092999,1
42.186001,1
42.220001,1
42.265999,1
42.296001,1
42.342999,1
42.483002,2
42.546001,1
42.576,1
42.636002,1
42.673,1
42.720001,1
42.75,1
42.765999,1
42.799999,1
42.905998,1
42.936001,1
42.970001,1
42.986,1
43.035999,1
43.046001,1
43.060001,1
43.125999,1
43.146,1
43.155998,1
43.173,1
43.189999,1
43.202999,1
43.279999,1
43.283001,1
43.313,1
43.342999,1
43.360001,1
43.373001,1
43.375999,1
43.466,1
43.483002,2
43.5,1
43.513,1
43.533001,1
43.560001,1
43.563,1
43.57,1
43.612999,1
43.653,1
43.655998,2
43.702999,2
43.813,1
43.905998,1
43.936001,1
43.952999,1
43.983002,2
44.0,2
44.015999,1
44.066002,1
44.076,1
44.110001,1
44.119999,1
44.125999,1
44.155998,1
44.202999,2
44.233002,1
44.259998,1
44.316002,1
44.360001,1
44.389999,1
44.393002,1
44.423,1
44.515999,1
44.576,1
44.623001,1
44.643002,1
44.66,1
44.686001,1
44.75,1
44.765999,1
44.826,1
44.849998,1
44.986,1
45.0,1
45.173,1
45.202999,1
45.233002,1
45.236,1
45.25,1
45.265999,1
45.279999,2
45.310001,1
45.313,2
45.436001,1
45.576,1
45.596001,1
45.655998,1
45.740002,1
45.765999,1
45.772999,1
45.783001,2
45.796001,1
45.826,1
45.875999,2
45.983002,1
46.0,1
46.015999,1
46.029999,1
46.063,1
46.096001,1
46.139999,1
46.186001,1
46.283001,1
46.313,1
46.330002,1
46.405998,1
46.452999,1
46.486,1
46.563,1
46.733002,1
46.779999,1
46.792999,1
46.830002,1
46.842999,1
46.860001,1
46.889999,1
46.893002,1
46.916,1
46.923,3
47.0,1
47.002998,1
47.110001,1
47.112999,1
47.153,1
47.155998,2
47.186001,1
47.25,1
47.296001,1
47.299999,1
47.326,1
47.330002,1
47.423,1
47.486,1
47.702999,1
47.919998,1
48.049999,1
48.060001,1
48.110001,2
48.123001,1
48.143002,1
48.189999,1
48.202999,1
48.236,1
48.360001,1
48.41,1
48.486,1
48.502998,1
48.515999,1
48.546001,1
48.576,1
48.583,1
48.623001,1
48.639999,2
48.655998,1
48.776001,1
48.813,2
48.889999,1
48.919998,1
49.033001,1
49.123001,1
49.132999,1
49.136002,1
49.143002,1
49.155998,1
49.189999,1
49.233002,1
49.252998,1
49.32,1
49.346001,1
49.355999,1
49.375999,1
49.405998,1
49.419998,1
49.452999,1
49.495998,1
49.5,3
49.515999,1
49.566002,1
49.576,1
49.643002,2
49.689999,2
49.75,2
49.783001,1
49.842999,1
49.860001,1
49.905998,2
49.936001,1
49.952999,1
49.970001,2
50.015999,1
50.130001,1
50.139999,1
50.173,1
50.233002,2
50.252998,1
50.279999,1
50.296001,1
50.342999,1
50.405998,1
50.412998,1
50.456001,1
50.470001,2
50.549999,1
50.576,1
50.643002,1
50.783001,1
50.860001,2
50.875999,1
50.889999,1
50.893002,2
50.952999,1
50.966,1
51.0,2
51.063,1
51.080002,1
51.143002,1
51.216,1
51.236,1
51.313,1
51.362999,1
51.452999,1
51.470001,1
51.495998,1
51.509998,1
51.546001,1
51.580002,1
51.655998,1
51.702999,1
51.75,1
51.813,1
51.889999,2
51.912998,1
52.0,1
52.125999,1
52.132999,1
52.169998,1
52.220001,1
52.233002,1
52.310001,1
52.375999,1
52.386002,1
52.423,1
52.483002,1
52.5,1
52.515999,1
52.625999,1
52.689999,1
52.720001,1
52.745998,1
52.779999,2
52.830002,1
52.846001,1
52.905998,1
52.970001,1
52.983002,1
53.080002,1
53.220001,1
53.25,2
53.27,1
53.342999,1
53.423,1
53.452999,1
53.486,1
53.533001,2
53.623001,1
53.655998,1
53.689999,1
53.733002,1
53.765999,1
53.77,1
53.779999,1
53.842999,1
53.846001,1
53.893002,1
53.905998,1
53.936001,1
53.983002,1
53.986,2
54.049999,1
54.063,1
54.139999,1
54.206001,1
54.360001,1
54.432999,1
54.470001,1
54.483002,1
54.515999,1
54.533001,1
54.673,1
54.689999,1
54.720001,1
54.842999,1
54.846001,1
54.893002,1
54.923,1
55.0,1
55.029999,1
55.040001,1
55.076,1
55.096001,1
55.125999,1
55.155998,1
55.173,1
55.189999,1
55.259998,1
55.265999,1
55.405998,1
55.529999,1
55.596001,1
55.610001,1
55.655998,1
55.720001,2
55.723,1
55.792999,1
55.823002,1
55.905998,1
55.952999,1
55.973,1
56.002998,1
56.015999,1
56.029999,1
56.049999,1
56.080002,1
56.110001,1
56.143002,1
56.155998,1
56.25,1
56.373001,1
56.423,1
56.432999,1
56.452999,1
56.546001,1
56.580002,1
56.792999,1
56.830002,1
56.893002,1
56.923,1
56.936001,1
57.046001,1
57.063,1
57.092999,1
57.139999,1
57.143002,1
57.220001,1
57.23,1
57.256001,1
57.313,1
57.34,1
57.405998,1
57.573002,1
57.625999,1
57.655998,2
57.736,1
57.765999,1
57.796001,1
57.813,1
57.842999,1
57.846001,1
57.893002,1
57.923,1
57.936001,1
57.939999,2
57.952999,1
58.015999,1
58.033001,1
58.096001,1
58.110001,2
58.150002,1
58.155998,1
58.233002,1
58.313,1
58.423,1
58.515999,1
58.673,2
58.830002,1
58.889999,1
58.983002,1
59.080002,1
59.125999,1
59.143002,1
59.186001,1
59.265999,2
59.279999,1
59.436001,1
59.623001,1
59.686001,1
59.765999,1
59.862999,1
59.952999,2
59.970001,1
60.02,1
60.033001,2
60.16,1
60.169998,1
60.182999,1
60.189999,1
60.220001,1
60.265999,1
60.313,1
60.330002,1
60.342999,1
60.393002,1
60.419998,1
60.452999,3
60.502998,1
60.515999,1
60.529999,1
60.576,1
60.643002,1
60.720001,1
60.752998,1
60.813,1
60.830002,1
60.889999,1
60.893002,1
60.939999,1
60.956001,1
61.015999,1
61.076,1
61.080002,1
61.139999,1
61.202999,1
61.34,1
61.342999,1
61.360001,1
61.375999,1
61.452999,1
61.580002,1
61.655998,1
61.752998,1
61.779999,1
61.783001,1
61.813,1
61.905998,1
61.93,1
62.220001,1
62.233002,1
62.283001,1
62.330002,1
62.450001,1
62.470001,1
62.580002,1
62.643002,1
62.736,1
62.799999,1
62.82,1
62.889999,2
62.939999,1
63.110001,1
63.189999,1
63.206001,1
63.220001,1
63.233002,1
63.236,1
63.303001,1
63.346001,1
63.360001,1
63.389999,2
63.443001,1
63.466,2
63.486,1
63.5,1
63.502998,1
63.563,1
63.625999,1
63.639999,1
63.66,1
63.702999,1
63.706001,1
63.796001,1
63.830002,1
63.905998,1
63.919998,1
64.080002,1
64.246002,1
64.269997,1
64.313004,1
64.470001,1
64.545998,1
64.690002,1
64.875999,1
64.892998,1
64.940002,1
64.949997,1
65.072998,1
65.110001,2
65.123001,1
65.125999,1
65.172997,1
65.185997,1
65.190002,1
65.25,2
65.295998,2
65.309998,1
65.346001,1
65.435997,1
65.470001,2
65.532997,1
65.639999,1
65.782997,1
65.889999,1
65.910004,1
66.063004,1
66.123001,1
66.142998,1
66.153,1
66.172997,1
66.182999,1
66.252998,2
66.373001,1
66.5,1
66.545998,1
66.593002,1
66.596001,1
66.625999,2
66.672997,1
66.779999,1
66.782997,1
66.813004,1
66.830002,1
66.860001,1
66.905998,1
66.953003,1
67.015999,1
67.093002,1
67.125999,1
67.166,1
67.185997,1
67.206001,1
67.435997,1
67.466003,1
67.515999,1
67.642998,1
67.655998,1
67.660004,1
67.690002,1
67.699997,1
67.733002,1
67.795998,1
67.843002,1
67.889999,1
67.953003,1
67.986,1
67.989998,1
68.0,1
68.139999,1
68.160004,1
68.172997,2
68.220001,1
68.356003,1
68.375999,1
68.470001,1
68.502998,1
68.545998,1
68.553001,1
68.563004,1
68.669998,1
68.720001,1
68.782997,1
68.860001,1
68.870003,1
68.875999,1
68.953003,1
69.080002,1
69.125999,1
69.236,1
69.252998,1
69.265999,1
69.295998,1
69.515999,1
69.676003,1
69.690002,1
69.720001,1
69.782997,1
69.843002,2
69.873001,1
69.922997,1
69.953003,1
69.956001,1
70.110001,1
70.236,1
70.389999,1
70.392998,1
70.405998,2
70.422997,1
70.483002,1
70.532997,1
70.639999,1
70.660004,1
70.669998,1
70.672997,1
70.690002,1
70.716003,1
70.813004,1
70.825996,1
70.839996,1
70.983002,1
71.0,1
71.063004,1
71.096001,1
71.172997,1
71.209999,1
71.265999,1
71.282997,2
71.346001,1
71.426003,1
71.440002,1
71.712997,1
71.800003,1
71.843002,1
71.860001,1
71.892998,1
71.910004,1
71.989998,1
72.075996,1
72.125999,1
72.203003,1
72.346001,1
72.360001,1
72.440002,1
72.639999,1
72.655998,1
72.736,1
72.843002,1
72.856003,1
72.862999,1
73.0,1
73.015999,1
73.066002,1
73.125999,1
73.139999,1
73.362999,1
73.392998,1
73.486,1
73.575996,1
73.642998,1
73.782997,1
73.795998,1
73.830002,1
73.862999,1
73.905998,1
73.943001,1
74.0,1
74.155998,1
74.203003,1
74.295998,1
74.419998,1
74.435997,1
74.5,1
74.519997,1
74.655998,1
74.672997,1
74.723,1
74.733002,1
74.830002,1
74.892998,1
74.896004,1
74.913002,1
74.932999,1
74.953003,1
74.956001,1
75.0,1
75.110001,1
75.125999,1
75.133003,1
75.25,1
75.252998,2
75.470001,1
75.483002,1
75.550003,1
75.563004,1
75.629997,1
75.639999,1
75.655998,2
75.660004,1
75.733002,1
75.736,1
75.830002,1
75.970001,1
76.032997,1
76.106003,1
76.123001,1
76.155998,1
76.295998,1
76.325996,1
76.360001,1
76.379997,1
76.566002,1
76.940002,1
76.953003,1
77.026001,1
77.089996,1
77.110001,1
77.125999,1
77.282997,1
77.295998,1
77.343002,1
77.453003,1
77.473,1
77.483002,1
77.5,1
77.515999,1
77.529999,1
77.532997,1
77.545998,1
77.639999,1
77.685997,1
77.720001,1
77.736,1
77.769997,1
77.935997,1
78.032997,1
78.125999,1
78.216003,1
78.265999,1
78.360001,1
78.566002,1
78.642998,1
78.690002,1
78.720001,2
78.763,1
79.032997,1
79.203003,1
79.346001,1
79.526001,1
79.532997,1
79.610001,1
79.690002,1
79.813004,1
79.986,2
80.392998,1
80.466003,1
80.489998,1
80.596001,1
80.623001,1
80.655998,1
80.690002,1
80.739998,1
80.843002,1
81.045998,1
81.112999,1
81.142998,1
81.190002,1
81.206001,1
81.263,1
81.282997,1
81.360001,1
81.389999,1
81.483002,1
81.690002,1
81.769997,1
82.015999,1
82.236,1
82.263,1
82.295998,2
82.405998,1
